cutoff,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
2017,Linear Regression,squared_error,3795,20.90551865699671,19.754797098520356,1.1507215584763557,-2.3416391791899183,4.684267988430625,2141568.0,9.899897300439859e-104,False,False
2017,Linear Regression,absolute_error,3795,2.1826310693216993,1.6216304035784719,0.5610006657432277,0.45799176816417403,0.665537599615483,1955468.0,2.498236401629792e-131,False,True
2017,Decision Tree,squared_error,3795,29.96778530002529,19.754797098520356,10.212988201504936,6.560698180341513,14.031515921970993,2406042.0,3.022792285250993e-39,False,True
2017,Decision Tree,absolute_error,3795,2.1795968434229063,1.6216304035784719,0.5579664398444345,0.4519651493183877,0.6710199379563577,2209166.0,1.3813974357053738e-59,False,True
2017,Random Forest,squared_error,3795,17.528316947050122,19.754797098520356,-2.2264801514702333,-4.1624676698052685,-0.46617339063798513,2456041.0,1.3800177949668946e-51,True,False
2017,Random Forest,absolute_error,3795,1.7448124107381129,1.6216304035784719,0.1231820071596409,0.06044173766859365,0.18765268569990143,1992316.0,2.3081775600024053e-109,False,True
2017,Ridge,squared_error,3795,20.69391538837438,19.754797098520356,0.9391182898540195,-2.541108184168386,4.464598467831091,2133662.0,7.766224043892239e-105,False,False
2017,Ridge,absolute_error,3795,2.1805828365588127,1.6216304035784719,0.5589524329803405,0.4558336449901871,0.6634686009670175,1947573.5,1.425808179047423e-132,False,True
2017,Poly Ridge,squared_error,3795,17.832366614859225,19.754797098520356,-1.9224304836611321,-4.5156149375126855,0.4539919348182108,1961684.0,2.3588754257040437e-130,False,False
2017,Poly Ridge,absolute_error,3795,2.130199344182245,1.6216304035784719,0.5085689406037736,0.4256748257691562,0.5911808052863942,1735693.0,3.6440488721294103e-168,False,True
2018,Linear trend baseline,squared_error,2562,94.28097002827955,13.885385424277956,80.39558460400161,30.23376585289354,142.06790121684696,1172600.0,2.1904407561411456e-19,False,True
2018,Linear trend baseline,absolute_error,2562,1.9393816636798622,1.325006323779034,0.614375339900828,0.34342350243618264,0.9339439001679007,1137509.5,1.328995891310039e-23,False,True
2018,KNN,squared_error,2562,11.612301069860477,13.885385424277956,-2.2730843544174806,-4.1933622982583625,-0.5779074498419113,1048736.5,0.00014376170338817378,True,False
2018,KNN,absolute_error,2562,1.3075159102772034,1.325006323779034,-0.017490413501830678,-0.08338303957453799,0.04524820056091097,1047641.0,0.00012309043061033953,False,False
2018,Neural Network,squared_error,2562,11.040856946006413,13.885385424277956,-2.8445284782715414,-4.803095117064729,-1.0809330770782601,1052149.0,7.867026464154051e-56,True,False
2018,Neural Network,absolute_error,2562,1.5100022771358133,1.325006323779034,0.18499595335677946,0.11873511314362993,0.2497372762597717,918355.5,4.0650939993777835e-83,False,True
2018,SVM,squared_error,2562,10.71047055086924,13.885385424277956,-3.174914873408715,-5.299431928734996,-1.192532570664677,1466441.0,2.901312389535552e-06,True,False
2018,SVM,absolute_error,2562,1.189245364143664,1.325006323779034,-0.13576095963536977,-0.21563364972905527,-0.06023966601042549,1414162.0,1.249132909843617e-09,True,False
2018,Linear Regression,squared_error,2562,10.46582224153509,13.885385424277956,-3.4195631827428654,-5.629519439583941,-1.4502777249082621,1048291.0,1.5358555362068004e-56,True,False
2018,Linear Regression,absolute_error,2562,1.5349544354449995,1.325006323779034,0.20994811166596558,0.12312142707077693,0.2913506799546608,947053.0,8.460992788688724e-77,False,True
2018,Decision Tree,squared_error,2562,17.400424869114538,13.885385424277956,3.5150394448365816,1.591776929214675,5.589032079802107,1170997.5,3.1632187351630677e-24,False,True
2018,Decision Tree,absolute_error,2562,1.5410923789796835,1.325006323779034,0.21608605520064952,0.14165966764942506,0.2959614957872854,1074355.5,6.389575124551616e-38,False,True
2018,Random Forest,squared_error,2562,10.354017272438595,13.885385424277956,-3.531368151839361,-5.23261693333565,-1.992741715180428,1125753.0,3.4850251122893656e-37,True,False
2018,Random Forest,absolute_error,2562,1.2932999985279068,1.325006323779034,-0.031706325251127015,-0.08486725517846339,0.018852784142052242,917060.0,5.799609132248015e-76,False,False
2018,Ridge,squared_error,2562,10.345010589579571,13.885385424277956,-3.5403748346983837,-5.763915790866454,-1.5589113659374054,1042466.0,1.2778245766931998e-57,True,False
2018,Ridge,absolute_error,2562,1.5370149769732713,1.325006323779034,0.21200865319423737,0.1249233210297176,0.2940487813156096,942457.0,8.562945382372311e-78,False,True
