fold,model,metric,n,model_mean_error,baseline_mean_error,mean_difference,ci_low,ci_high,wilcoxon_stat,wilcoxon_p,beats_baseline,worse_than_baseline
2,Ridge,squared_error,5394,28.8245284242054,41.17671387004033,-12.352185445834925,-14.914356589001127,-9.914906934923634,3870568.0,1.0589593953022476e-194,True,False
2,Ridge,absolute_error,5394,2.802885176758204,3.8164073430559213,-1.0135221662977172,-1.1095002078515313,-0.9191188891839058,3573821.0,9.702348407679958e-230,True,False
2,Poly Ridge,squared_error,5394,28.859967962571563,41.17671387004033,-12.316745907468759,-15.078657930871321,-9.681458061629135,5927278.0,4.6863187926116543e-32,True,False
2,Poly Ridge,absolute_error,5394,3.196552576902209,3.8164073430559213,-0.6198547661537124,-0.723008233372192,-0.5188040204099496,5505219.0,5.14168786328628e-54,True,False
3,Linear trend baseline,squared_error,5394,33.05249526026159,33.05020179383597,0.002293466425617589,-0.04172306125246033,0.047543849351463725,7206273.0,0.5469997310196474,False,False
3,Linear trend baseline,absolute_error,5394,3.5911976689490914,3.5954170683511584,-0.004219399402066845,-0.008396467933026211,-6.347110688879563e-05,6925688.0,0.002241950381028524,True,False
3,KNN,squared_error,5394,20.7438165626061,33.05020179383597,-12.306385231229871,-14.846733059467942,-9.883438933762651,3458320.0,3.594716450022665e-244,True,False
3,KNN,absolute_error,5394,2.2500553334480076,3.5954170683511584,-1.3453617349031506,-1.4348742495798372,-1.2560959678724302,2964861.5,0.0,True,False
3,Neural Network,squared_error,5394,17.459937985957307,33.05020179383597,-15.59026380787866,-18.19701131945089,-13.080116765040138,3141114.0,4.58550223016387e-286,True,False
3,Neural Network,absolute_error,5394,2.1190754519243518,3.5954170683511584,-1.476341616426806,-1.5645936521207915,-1.387426871840326,2779345.5,0.0,True,False
3,SVM,squared_error,5394,19.429689367165263,33.05020179383597,-13.62051242667071,-15.757228052235584,-11.607336761109696,3360128.0,8.845042995433288e-257,True,False
3,SVM,absolute_error,5394,2.394283935087439,3.5954170683511584,-1.2011331332637192,-1.2812523720402595,-1.1175976160865826,3164877.0,8.237193433924002e-283,True,False
3,Linear Regression,squared_error,5394,22.19541566144994,33.05020179383597,-10.85478613238603,-12.941174751060469,-8.830761866613507,4065586.0,2.8917717004487585e-173,True,False
3,Linear Regression,absolute_error,5394,2.550962163546026,3.5954170683511584,-1.0444549048051321,-1.1297639328328677,-0.9559318042098017,3723463.0,1.0488411761408907e-211,True,False
3,Decision Tree,squared_error,5394,29.6501505853431,33.05020179383597,-3.4000512084928656,-6.37271047979088,-0.4816200276445503,3904096.0,6.01714639056745e-191,True,False
3,Decision Tree,absolute_error,5394,2.4511338595375443,3.5954170683511584,-1.1442832088136143,-1.2531336648276483,-1.031310520226342,3331230.0,1.3137908189116871e-260,True,False
3,Random Forest,squared_error,5394,19.047503576467154,33.05020179383597,-14.002698217368813,-16.439862305369065,-11.687419175010804,3402065.0,2.359263255412284e-251,True,False
3,Random Forest,absolute_error,5394,2.354769304755848,3.5954170683511584,-1.2406477635953104,-1.3273111898005316,-1.1520426050805042,3149526.0,6.539707277946987e-285,True,False
3,Ridge,squared_error,5394,21.694572071720888,33.05020179383597,-11.355629722115081,-13.442292785418136,-9.350428250218997,3568682.0,2.261869740402698e-230,True,False
3,Ridge,absolute_error,5394,2.4689056936974016,3.5954170683511584,-1.126511374653756,-1.2095585530605202,-1.040849980563651,3317283.0,2.2022919767893534e-262,True,False
3,Poly Ridge,squared_error,5394,19.960336728406844,33.05020179383597,-13.089865065429128,-15.573853061193535,-10.753833583436384,4344739.0,8.93728114752303e-145,True,False
3,Poly Ridge,absolute_error,5394,2.64000677561794,3.5954170683511584,-0.9554102927332181,-1.0482168823127822,-0.8601378492554851,4185957.5,1.1559888135292944e-160,True,False
4,Linear trend baseline,squared_error,5394,40.014193409409415,40.0597657533912,-0.0455723439817733,-0.07545427671385224,-0.01632342072752845,7129355.0,0.20239371602964662,True,False
4,Linear trend baseline,absolute_error,5394,3.5981116697364284,3.5992339702034344,-0.0011223004670051372,-0.0036113747900702654,0.0013586235976814952,7207022.0,0.5512826023758615,False,False
4,KNN,squared_error,5394,25.759173143108576,40.0597657533912,-14.300592610282617,-16.793235991033196,-11.920055036017523,3455221.0,1.4627384190807118e-244,True,False
4,KNN,absolute_error,5394,2.3902237707799925,3.5992339702034344,-1.2090101994234417,-1.2927959935082742,-1.126524869506199,3098035.0,5.092890163883453e-292,True,False
4,Neural Network,squared_error,5394,23.765787056972545,40.0597657533912,-16.293978696418645,-19.53952875130948,-13.17368236038821,3851880.0,8.025800200954164e-197,True,False
4,Neural Network,absolute_error,5394,2.3574189101326413,3.5992339702034344,-1.241815060070793,-1.3498893278344792,-1.1366898366757607,3531417.5,5.517702330147737e-235,True,False
4,SVM,squared_error,5394,24.632265915756907,40.0597657533912,-15.427499837634286,-17.96026718447726,-13.05394602145709,4195703.0,1.1540005785529307e-159,True,False
4,SVM,absolute_error,5394,2.5139894453613203,3.5992339702034344,-1.085244524842114,-1.170989885957031,-0.9999656222216587,3833537.0,6.485869120128645e-199,True,False
4,Linear Regression,squared_error,5394,50.78326559747366,40.0597657533912,10.723499844082465,3.636553700218018,18.132910692996507,5582435.0,1.473847489104854e-49,False,True
4,Linear Regression,absolute_error,5394,3.4562579978870684,3.5992339702034344,-0.14297597231636566,-0.2963825011946354,0.00985627771966903,5412868.5,1.3221023171622526e-59,False,False
4,Decision Tree,squared_error,5394,33.89078807840364,40.0597657533912,-6.168977674987555,-9.484475598611416,-2.726699894900079,3674032.0,1.3510386306714703e-217,True,False
4,Decision Tree,absolute_error,5394,2.521254860213267,3.5992339702034344,-1.077979109990167,-1.1876857763433906,-0.9668189819748907,3292401.5,9.82173263576218e-266,True,False
4,Random Forest,squared_error,5394,24.223707630185743,40.0597657533912,-15.836058123205449,-18.687798352513436,-13.078694620266079,3948702.0,5.817597525407801e-186,True,False
4,Random Forest,absolute_error,5394,2.504574017168293,3.5992339702034344,-1.0946599530351413,-1.192783793180819,-0.9971760750209765,3707266.0,1.2723574333846995e-213,True,False
4,Ridge,squared_error,5394,46.06398018437314,40.0597657533912,6.004214430981952,-0.5255553299918174,12.81308536199997,5232923.0,2.624222110635048e-71,False,False
4,Ridge,absolute_error,5394,3.2522346709844947,3.5992339702034344,-0.3469992992189393,-0.49226177110448305,-0.20183529117451038,5036867.5,2.8130835856976853e-85,True,False
4,Poly Ridge,squared_error,5394,26.720632353797566,40.0597657533912,-13.339133399593631,-16.3157110683068,-10.550397722970839,5384983.0,2.3875602341950947e-61,True,False
4,Poly Ridge,absolute_error,5394,2.9158895896426453,3.5992339702034344,-0.6833443805607889,-0.7869693453281585,-0.5789431440708026,5142117.5,1.2790959292050571e-77,True,False
5,Linear trend baseline,squared_error,5394,44.53711599962179,44.53465764684497,0.002458352776809962,-0.04775843204842691,0.054296083329000995,7114308.0,0.1596295861079816,False,False
